topaze;#FAEA73
tourterelle;#BBACAC
turquoise;#25FDE9
vanille;#E1CE9A
vermeil;#FF0921
vermillon;#DB1702
vert anglais;#18391E
vert anis;#9FE855
vert bouteille;#096A09
vert chartreuse;#C2F732
vert céladon;#83A697
vert d'eau;#B0F2B6
vert de chrome;#18391E
vert de hooker;#1B4F08
vert de vessie;#22780F
vert gazon ou herbe;#3A9D23
vert impérial;#00561B
vert kaki;#798933
vert lichen;#85C17E
vert lime;#9EFD38
vert militaire;#596643
vert mousse;#679F5A
vert mélèze;#386F48
vert opaline;#97DFC6
vert perroquet;#3AF24B
vert pin;#01796F
vert poireau;#4CA66B
vert pomme;#34C924
vert prairie;#57D53B
vert printemps;#00FF7F
vert sapin;#095228
vert sauge;#689D71
vert tilleul;#A5D152
vert véronèse;#5A6521
vert épinard;#175732
vert-de-gris;#95A595
vert;#008020
violet d'évêque;#723E64
violet;#7F00FF
violine;#A10684
viride;#40826D
zinzolin;#6C0277
ébène;#000000
écarlate;#ED0000
écru;#FEFEE0
émeraude;#01D758
étain;#EDEDED
